whc_id;nombre;pais;categoria;criterios;lat;lon;n_componentes
506;Banc d'Arguin National Park;Mauritania;natural;(ix) (x);20.234722222222;-16.108888888889;1
511;Mystras;Greece;cultural;(ii) (iii) (iv);37.074;22.3673;1
514;Maes Howe;United Kingdom;cultural;(i) (ii) (iii) (iv);58.9966;-3.1882;6
515;Abbey and Altenmünster of Lorsch;Germany;cultural;(iii) (iv);49.65369;8.56858;7
516;Bandiagara Escarpment;Mali;mixto;(v) (vii);14.416666666667;-3.3166666666667;1
517;Olympia;Greece;cultural;(i) (ii) (iii) (iv) (vi);37.638333333333;21.63;1
518;Poblet Monastery;Spain;cultural;(i) (iv);41.380833333333;1.0825;1
522;Centro histórico de Úbeda;Spain;cultural;(i) (ii) (iv);38.01131;-3.37122;4
524;Sanchi;India;cultural;(i) (ii) (iii) (iv) (vi);23.47944444;77.73972222;1
526;Colonial City of Santo Domingo;Dominican Republic;cultural;(ii) (iv) (vi);18.473;-69.883;1
527;Kyiv Pechersk Lavra;Ukraine;cultural;(i) (ii) (iii) (iv);50.432222222222;30.562222222222;5
529;San Javier;Bolivia;cultural;(iv) (v);-16.2748;-62.5072;7
530;Delos;Greece;cultural;(ii) (iii) (iv) (vi);37.38948;25.26904;2
532;Palaces and Parks of Potsdam and Berlin;Germany;cultural;(i) (ii) (iv);52.4;13.033333333333;3
534;Dessau-Wörlitz Garden Realm;Germany;cultural;(ii) (iv);51.8636;12.2814;1
535;Old and new towns of Quedlinburg;Germany;cultural;(iv);51.78889;11.14278;3
537;Daphni Monastery;Greece;cultural;(i) (iv);38.013055555556;23.635833333333;4
540;Krasnoye Selo;Russia;cultural;(i) (ii) (iv) (vi);59.736245;30.086205;141
541;Vilnius Old Town;Lithuania;cultural;(ii) (iv);54.683333333333;25.283333333333;1
543;Itchan Kala;Uzbekistan;cultural;(iii) (iv) (v);41.377718;60.359476;1
544;Kizhi Pogost;Russia;cultural;(i) (iv) (v);62.06767;35.22345;1
545;Kremlin and Red Square;Russia;cultural;(i) (ii) (iv) (vi);55.75361111;37.62;1
546;Maulbronn Monastery;Germany;cultural;(ii) (iv);49.0011;8.8129;1
547;Huangshan;People's Republic of China;mixto;(ii) (vii) (x);30.125;118.166667;2
548;Río Abiseo National Park;Peru;mixto;(iii) (vii) (ix) (x);-7.75;-77.25;1
549;18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex;Italy;cultural;(i) (ii) (iii) (iv);41.07333;14.32639;1
550;Historic Centre of San Gimignano;Italy;cultural;(i) (iii) (iv);43.467057116273;11.04280443979;1
551;Te Wahipounamu;New Zealand;natural;(vii) (viii) (ix) (x);-45.036;167.32;1
554;Laguna Ojo de Liebre;Mexico;natural;(x);27.75;-114.25;2
555;Birka;Sweden;cultural;(iii) (iv);59.336666666667;17.545;3
556;Engelsberg Ironworks;Sweden;cultural;(iv);59.969166666667;16.010277777778;2
557;Rock Carvings in Tanum;Sweden;cultural;(i) (iii) (iv);58.69995;11.33641;2
558;Skogskyrkogården;Sweden;cultural;(ii) (iv);59.275555555556;18.099444444444;2
559;Drottningholm Palace;Sweden;cultural;(iv);59.321694;17.886383;6
560;Casas Grandes;Mexico;cultural;(iii) (iv);30.37583;-107.95556;1
561;Dambulla cave temple;Sri Lanka;cultural;(i) (vi);7.85666667;80.64916667;2
564;Old City of Zamość;Poland;cultural;(iv);50.720556;23.258611;1
565;Casbah of Algiers;Algeria;cultural;(ii) (v);36.78333;3.06028;1
566;Historic City of Sucre;Bolivia;cultural;(iv);-19.04799;-65.259591944444;1
567;Tiwanaku;Bolivia;cultural;(iii) (iv);-16.554722222222;-68.673333333333;2
569;Historic Centres of Berat and Gjirokastër;Albania;cultural;(iii) (iv);40.707916666667;19.93825;4
570;Butrint;Albania;cultural;(iii);39.757066;20.016628;1
573;Aïr and Ténéré National Nature Reserve;Niger;natural;(vii) (ix) (x);18.0;9.0;1
574;Sukhothai Historical Park;Thailand;cultural;(i) (iii);17.021111111111;99.703611111111;4
575;Ban Chiang;Thailand;cultural;(iii);17.548611111111;103.35833333333;1
576;Ayutthaya Historical Park;Thailand;cultural;(iii);14.351626;100.5575086;1
577;Heard Island and McDonald Islands;Australia;natural;(viii) (ix);-53.093527777778;73.517;1
578;Shark Bay;Australia;natural;(vii) (viii) (ix) (x);-25.92897;113.604655;1
579;Sammallahdenmäki;Finland;cultural;(iii) (iv);61.11767375;21.7751687;1
582;Old Rauma;Finland;cultural;(iv) (v);61.128269;21.513215;1
583;Suomenlinna;Finland;cultural;(iv);60.143611111111;24.984444444444;1
584;Petäjävesi Old Church;Finland;cultural;(iv);62.2501367;25.1839449;1
585;Historic Centre of Morelia;Mexico;cultural;(ii) (iv) (vi);19.7;-101.1833333;1
586;Rohtas Fort;Pakistan;cultural;(ii) (iv);32.965277777778;73.576416666667;1
588;Danube Delta;Ukraine;natural;(vii) (x);45.2;29.5;2
590;Khao Yai National Park;Thailand;natural;(x);14.35;101.44;7
591;Thungyai Naresuan Wildlife Sanctuary;Thailand;natural;(vii) (ix) (x);15.333333333333;98.916666666667;2
592;Pawon;Indonesia;cultural;(i) (ii) (vi);-7.60613;110.21958;4
593;Sangiran;Indonesia;cultural;(iii) (vi);-7.45;110.85;1
595;Heraion of Samos;Greece;cultural;(ii) (iii);37.67194444;26.88555556;3
596;Biertan fortified church;Romania;cultural;(iv);46.1352;24.5213;8
597;Horezu monastery;Romania;cultural;(ii);45.1686;24.0069;1
598;Voroneț Monastery;Romania;cultural;(i) (iv);47.5170438;25.8641623;9
599;Island of Mozambique;Mozambique;cultural;(iv) (vi);-15.036666666667;40.732777777778;1
600;banks of the Seine;France;cultural;(i) (ii) (iv);48.85;2.35889;1
601;Reims Cathedral;France;cultural;(i) (ii) (vi);49.253888888889;4.0341666666667;3
602;Historic Centre of Bukhara;Uzbekistan;cultural;(ii) (iv) (vi);39.76666667;64.43333333;6
603;Afrasiyab;Uzbekistan;cultural;(i) (ii) (iv);39.671325;66.987708333333;7
604;Yuriev Monastery;Russia;cultural;(ii) (iv) (vi);58.486388888889;31.284722222222;10
606;Serra da Capivara National Park;Brazil;cultural;(iii);-8.6667;-42.55;1
608;Panaitan Island;Indonesia;natural;(vii) (x);-6.591267;105.209033;6
609;Komodo National Park;Indonesia;natural;(vii) (x);-8.651625;119.576569;1
611;Zabid;Yemen;cultural;(ii) (iv) (vi);14.202174387164;43.318330547497;2
613;Ruínas de León Viejo;Nicaragua;cultural;(iii) (iv);12.400547222222;-86.617797222222;2
614;City of Safranbolu;Turkey;cultural;(ii) (iv) (v);41.26;32.68972;4
616;Průhonice Castle park;Czech Republic;cultural;(ii) (iv) (vi);49.9994;14.5569;4
617;Historic Centre of Český Krumlov;Czech Republic;cultural;(iv);48.816666666667;14.316666666667;1
618;Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity;Slovakia;cultural;(iv) (v);48.46111;18.9;2
620;Spiš Castle;Slovakia;cultural;(iv);49.000555555556;20.768333333333;4
621;Historic Centre of Telč;Czech Republic;cultural;(i) (iv);49.18333;15.45;1
622;Vlkolínec;Slovakia;cultural;(iv) (v);49.0397;19.2784;1
623;Mines of Rammelsberg and Historic Town of Goslar;Germany;cultural;(i) (ii) (iii) (iv);51.89;10.42056;3
625;Mir Castle Complex;Belarus;cultural;(ii) (iv);53.451266666667;26.472894444444;1
629;Macquarie Island;Australia;natural;(vii) (viii);-54.63;158.86;1
630;K'gari;Australia;natural;(vii) (viii) (ix);-25.24;153.15;1
631;Tajín Veracruz;Mexico;cultural;(iii) (iv);20.448058333333;-97.378241666667;1
632;Solovetsky Islands;Russia;cultural;(iv);65.024444;35.710556;9
633;Monastery of Saint Euthymius;Russia;cultural;(i) (ii) (iv);56.433112;40.440246;8
634;Church of the Ascension, Kolomenskoye;Russia;cultural;(ii);55.667222222222;37.670833333333;1
635;Bourges Cathedral;France;cultural;(i) (iv);47.08222;2.39917;2
637;Jiuzhaigou Valley;People's Republic of China;natural;(vii);33.2;103.9;1
638;Huanglong;People's Republic of China;natural;(vii);32.740756;103.831077;1
640;Wulingyuan;People's Republic of China;natural;(vii);29.345555555556;110.46666666667;1
642;Prambanan Temple Compounds;Indonesia;cultural;(i) (iv);-7.7522222222222;110.49166666667;2
648;Jesús de Tavarangüé;Paraguay;cultural;(iv);-27.056;-55.753;5
652;Puerto Princesa Subterranean River National Park;Philippines;natural;(vii) (x);10.166666666667;118.91666666667;2
653;Tubbataha Reef;Philippines;natural;(vii) (ix) (x);8.9533333333333;119.8675;2
654;Arabian Oryx Sanctuary;Oman;natural;(x);19.7;57.0;1
657;Trinity Lavra of St. Sergius;Russia;cultural;(ii) (iv);56.31035;38.13065;1
658;Coro;Venezuela;cultural;(iv) (v);11.395;-69.681583333333;3
659;Brú na Bóinne;Ireland;cultural;(i) (iii) (iv);53.69284;-6.44932;1
660;Chūgū-ji Temple;Japan;cultural;(i) (ii) (iv) (vi);34.61496667;135.739575;5
661;Himeji Castle;Japan;cultural;(i) (iv);34.839444444444;134.69361111111;1
662;Yakushima;Japan;natural;(vii) (ix);30.358611111111;130.52861111111;1
663;Shirakami-Sanchi;Japan;natural;(ix);40.47;140.13;2
664;Arch of Trajan;Spain;cultural;(iii) (iv);38.91759;-6.346434;25
665;Royal Monastery of Saint Mary of Guadalupe;Spain;cultural;(iv) (vi);39.452777777778;-5.3275;1
666;Lumbini;Nepal;cultural;(iii) (vi);27.4814;83.275829;2
668;Angkor;Cambodia;cultural;(i) (ii) (iii) (iv);13.433333333333;103.83333333333;5
669;León Cathedral;Spain;cultural;(ii) (iv) (vi);42.59944444;-5.56666667;1753
670;The Sassi and the Park of the Rupestrian Churches of Matera;Italy;cultural;(iii) (iv) (v);40.666388888889;16.610277777778;1
672;Ha Long Bay;Vietnam;natural;(vii) (viii);20.9;107.2;2
675;Joya de Cerén;El Salvador;cultural;(iii) (iv);13.827494444444;-89.356158333333;1
676;Historic centre of Zacatecas;Mexico;cultural;(ii) (iv);22.76666667;-102.55;1
677;Santa Maria Church;Philippines;cultural;(ii) (iv);17.36642;120.48305;12
678;Huế citadel;Vietnam;cultural;;16.46972222;107.57777778;16
682;Bwindi Impenetrable National Park;Uganda;natural;(vii) (x);-1.05;29.71666667;1
684;Rwenzori Mountains National Park;Uganda;natural;(vii) (x);0.4;29.95;1
685;Doñana National Park;Spain;natural;(vii) (ix) (x);37.02;-6.44;1
686;Miguasha National Park;Canada;natural;(viii);48.110555555556;-66.369444444444;1
687;Völklingen Ironworks;Germany;cultural;(ii) (iv);49.25056;6.84528;1
688;Kiyomizu-dera Temple;Japan;cultural;(ii) (iv);34.994830555556;135.78500277778;18
689;Salt;Jordan;cultural;(ii) (iii);32.039166666667;35.727222222222;1
690;Pilgrimage Church of Saint John of Nepomuk;Czech Republic;cultural;(iv);49.58;15.94194;1
692;Odzala National Park;Republic of the Congo;natural;(ix) (x);0.8;14.9;1
695;Roskilde Cathedral;Denmark;cultural;(ii) (iv);55.642669444444;12.080308333333;1
696;Kronborg Castle;Denmark;cultural;(iv);56.038611111111;12.621944444444;1
697;Jelling Heritage Site;Denmark;cultural;(iii);55.75651427092;9.4197434293488;1
698;Naracoorte Caves National Park;Australia;natural;(viii) (ix);-37.036111111111;140.79666666667;7
699;Church of Saint Christopher;Spain;cultural;(iv);42.688888888889;-7.2486111111111;3
700;Nazca Lines;Peru;cultural;(i) (iii) (iv);-14.6975;-75.135;1
701;Canaima National Park;Venezuela;natural;(vii) (viii) (ix) (x);5.3193393;-61.7953505;1
702;Monasteries on the slopes of Popocatépetl;Mexico;cultural;(ii) (iv);18.93472;-98.89778;16
703;Chengde Mountain Resort and its outlying temples;People's Republic of China;cultural;(ii) (iv);40.9875;117.9375;1
704;Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu;People's Republic of China;cultural;(i) (iv) (vi);35.596512;116.984449;1
705;Ancient Building Complex in the Wudang Mountains;People's Republic of China;cultural;(i) (ii) (vi);32.44479;111.05827;1
707;Potala Palace;People's Republic of China;cultural;(i) (iv) (vi);29.657777777778;91.116944444444;6
708;Svetitskhoveli Complex;Georgia;cultural;(iii) (iv);41.84228;44.72105;2
709;Upper Svaneti;Georgia;cultural;(iv) (v);42.91639;43.01139;1
710;Gelati Monastery;Georgia;cultural;(iv);42.294722222222;42.768055555556;2
711;Los Katíos National Park;Colombia;natural;(ix) (x);7.8;-77.15;1
712;City of Vicenza and the Palladian Villas of the Veneto;Italy;cultural;(i) (ii);45.55;11.55;28
714;Rock Paintings of Sierra de San Francisco;Mexico;cultural;(i) (iii);27.655555555556;-112.91611111111;1
715;Rapa Nui National Park;Chile;cultural;(i) (iii) (v);-27.072877;-109.348579;1
717;Historic Centre of Siena;Italy;cultural;(i) (ii) (iv);43.31861111;11.33166667;1
718;Okapi Wildlife Reserve;Democratic Republic of the Congo;natural;(x);2.0;28.5;1
